order,date,title,authors,link,summary,takeaways,slide3,slide4
11,10 Dec 2015,"Deep Residual Learning for Image Recognition","Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun",https://arxiv.org/pdf/1512.03385.pdf,"This paper introduces deep residual networks (ResNets) for image recognition. It addresses the degradation problem in deep networks by using residual learning, significantly improving accuracy and enabling the training of much deeper models.","Bullets: Introduces residual learning framework to ease training of deep networks. | Significantly improves accuracy in image recognition tasks. | Enables the training of extremely deep networks with hundreds of layers.","",""
12,23 Nov 2015,"Multi-Scale Context Aggregation by Dilated Convolutions","Fisher Yu; Vladlen Koltun",https://arxiv.org/pdf/1511.07122.pdf,"This paper introduces dilated convolutions for multi-scale context aggregation in neural networks. It enhances feature extraction by expanding the receptive field without increasing parameters, improving performance in tasks like image segmentation and object detection.","Bullets: Introduces dilated convolutions for effective multi-scale context aggregation. | Enhances feature extraction without increasing computational cost. | Improves performance in dense prediction tasks like semantic segmentation.","",""
13,04 Apr 2017,"Neural Message Passing for Quantum Chemistry","Justin Gilmer; Samuel S. Schoenholz; Patrick F. Riley; Oriol Vinyals; George E. Dahl",https://arxiv.org/pdf/1704.01212.pdf,"This paper presents a neural message passing framework for quantum chemistry, enhancing molecular property prediction. It leverages graph neural networks to model interactions, improving accuracy and efficiency in computational chemistry tasks.","Bullets: Develops a neural message passing framework for molecular property prediction. | Achieves state-of-the-art results in quantum chemistry tasks. | Offers a scalable approach to model complex molecular interactions.","",""
14,12 Jun 2017,"Attention Is All You Need","Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; Aidan N. Gomez; Łukasz Kaiser; Illia Polosukhin",https://arxiv.org/pdf/1706.03762.pdf,"This paper introduces the Transformer model, revolutionizing natural language processing by using self-attention mechanisms. It eliminates recurrence, improving parallelization and performance in sequence transduction tasks, setting new standards in NLP.","Bullets: Introduces the Transformer model, relying solely on attention mechanisms. | Achieves superior performance in machine translation tasks. | Simplifies the architecture by removing recurrence and convolutions.","",""
15,01 Sep 2014,"Neural Machine Translation by Jointly Learning to Align and Translate","Dzmitry Bahdanau; Kyunghyun Cho; Yoshua Bengio",https://arxiv.org/pdf/1409.0473.pdf,"This paper introduces a novel approach to neural machine translation by integrating alignment and translation processes. It enhances translation accuracy by jointly learning these tasks, significantly improving performance over traditional methods, and setting a new standard in machine translation research.","Bullets: Introduces a novel approach to neural machine translation by integrating alignment and translation processes. | Improves translation accuracy by leveraging joint learning techniques. | Demonstrates the effectiveness of the model on various language pairs.","",""
16,16 Mar 2016,"Identity Mappings in Deep Residual Networks","Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun",https://arxiv.org/pdf/1603.05027.pdf,"","","",""
17,05 Jun 2017,"A Simple Neural Network Module for Relational Reasoning","Adam Santoro; David Raposo; David G.T. Barrett; Mateusz Malinowski; Razvan Pascanu; Peter Battaglia; Timothy Lillicrap",https://arxiv.org/pdf/1706.01427.pdf,"","","",""
18,08 Nov 2016,"Variational Lossy Autoencoder","Xi Chen; Diederik P. Kingma; Tim Salimans; Yan Duan; Prafulla Dhariwal; John Schulman; Ilya Sutskever; Pieter Abbeel",https://arxiv.org/pdf/1611.02731.pdf,"","","",""
19,05 Jun 2018,"Relational Recurrent Neural Networks","Adam Santoro; Ryan Faulkner; David Raposo; Jack Rae; Mike Chrzanowski; Theophane Weber; Daan Wierstra; Oriol Vinyals; Razvan Pascanu; Timothy Lillicrap",https://arxiv.org/pdf/1806.01822.pdf,"","","",""
20,27 May 2014,"Quantifying the Rise and Fall of Complexity in Closed Systems: The Coffee Automaton","Scott Aaronson, Sean M. Carroll, Lauren Ouellette",https://arxiv.org/pdf/1405.6903,"","","",""
21,20 Oct 2014,"Neural Turing Machines","Alex Graves; Greg Wayne; Ivo Danihelka",https://arxiv.org/pdf/1405.6903.pdf,"","","",""
22,08 Dec 2015,"Deep Speech 2: End-to-End Speech Recognition in English and Mandarin","Dario Amodei; Rishita Anubhai; Eric Battenberg; Carl Case; Jared Casper; Bryan Catanzaro; Jingdong Chen; Mike Chrzanowski; Adam Coates; Greg Diamos; Erich Elsen; Jesse Engel; Linxi Fan; Christopher Fougner; Tony Han; Awni Hannun; Billy Jun; Patrick LeGresley; Libby Lin; Sharan Narang; Andrew Ng; Sherjil Ozair; Ryan Prenger; Jonathan Raiman; Sanjeev Satheesh; David Seetapun; Shubho Sengupta; Yi Wang; Zhiqian Wang; Chong Wang; Bo Xiao; Dani Yogatama; Jun Zhan; Zhenyao Zhu",https://arxiv.org/pdf/1512.02595.pdf,"","","",""
23,23 Jan 2020,"Scaling Laws for Neural Language Models","Jared Kaplan; Sam McCandlish; Tom Henighan; Tom B. Brown; Benjamin Chess; Rewon Child; Scott Gray; Alec Radford; Jeffrey Wu; Dario Amodei",https://arxiv.org/pdf/2001.08361.pdf,"","","",""
24,04 Jun 2004,"A Tutorial Introduction to the Minimum Description Length Principle","Peter Grunwald",https://arxiv.org/pdf/math/0406077.pdf,"","","",""
25,22 Jun 2008,"Machine Super Intelligence","Shane Legg",https://www.vetta.org/documents/Machine_Super_Intelligence.pdf,"","","",""
26,01 Jan 2008,"Kolmogorov Complexity and Algorithmic Randomness","A. Shen; V. A. Uspensky; N. Vereshchagin",https://www.lirmm.fr/~ashen/kolmbook-eng-scan.pdf,"","","",""
27,01 Jan 2015,"Stanford's CS231n Convolutional Neural Networks for Visual Recognition","Fei-Fei Li; Justin Johnson; Serena Yeung",https://cs231n.github.io/,"","","",""
